Quick,30000,1508907986969,1508907986978,9,569040,1144600,575560
Selection,30000,1508907986989,1508907988883,1894,569040,1144600,575560
Insertion,30000,1508907988889,1508907989099,210,569040,1144600,575560
Bubble,30000,1508907989100,1508907991473,2373,569040,1144600,575560
Merge,30000,1508907991488,1508907991488,0,569040,5370560,4801520
Quick,30000,1508907991504,1508907991504,0,569040,1144600,575560
Selection,30000,1508907991504,1508907993323,1819,569040,1144600,575560
Insertion,30000,1508907993328,1508907993481,153,569040,1144600,575560
Bubble,30000,1508907993481,1508907995822,2341,569040,1144600,575560
Merge,30000,1508907995828,1508907995837,9,569040,5370560,4801520
Quick,30000,1508907995837,1508907995853,16,569040,1144600,575560
Selection,30000,1508907995853,1508907997665,1812,569040,1144600,575560
Insertion,30000,1508907997681,1508907997844,163,569040,1144600,575560
Bubble,40000,1508907997850,1508908001808,3958,649040,1304600,655560
Merge,40000,1508908001814,1508908001824,10,649040,7184680,6535640
Quick,40000,1508908001824,1508908001824,0,649040,1304600,655560
Selection,40000,1508908001840,1508908005103,3263,649040,1304600,655560
Insertion,40000,1508908005110,1508908005380,270,649040,1304600,655560
Bubble,40000,1508908005380,1508908009616,4236,649040,1304600,655560
Merge,40000,1508908009616,1508908009632,16,649040,7184680,6535640
Quick,40000,1508908009648,1508908009654,6,649040,1304600,655560
Selection,40000,1508908009654,1508908013025,3371,649040,1304600,655560
Insertion,40000,1508908013032,1508908013303,271,649040,1304600,655560
